"Aseua3","Aseua5","Lifespan","RightTarsus","BodyMass","HeadBill","WingLength","dROMsAssay","dROMsAbs505nm","dROMsAbs546nm","dROMsCARRU505nm","dROMsCARRU546nm","natalTQ","dROMs505mMolH2O2","dROMs546mMolH2O2","Froh_imp","OXYabs505nm","OXYabs546nm","OXYmMolHClO505nm","OXYmMolHClO546nm","SexEstimate","FatherAge","MotherAge","ParentLifespan_1","ParentLifespan_0"
0,1,9,25.4,16.375,31.325,62.125,27,0.948,0.641,72.198,38.986,8382.29,1.733,0.936,0.123631708,0.373,0.412,150.504,151.774,1,360,1633.07949125596,8.09041095890411,8.48949319589493
0,1,9,24.5,15.7,12.1,38,27,0.948,0.641,72.198,38.986,8382.29,1.733,0.936,0.123631708,0.373,0.412,150.504,151.774,1,360,1633.07949125596,8.09041095890411,8.48949319589493
0,1,9,25,16.375,37.1,71,27,0.948,0.641,72.198,38.986,8382.29,1.733,0.936,0.123631708,0.373,0.412,150.504,151.774,1,360,1633.07949125596,8.09041095890411,8.48949319589493
0,1,9,26.1,16.8,38.1,70,27,0.948,0.641,72.198,38.986,8382.29,1.733,0.936,0.123631708,0.373,0.412,150.504,151.774,1,360,1633.07949125596,8.09041095890411,8.48949319589493
0,1,9,26,16.4,38,69.5,27,0.948,0.641,72.198,38.986,8382.29,1.733,0.936,0.123631708,0.373,0.412,150.504,151.774,1,360,1633.07949125596,8.09041095890411,8.48949319589493
0,1,9,25.4,16.6,31.325,62.125,27,0.948,0.641,72.198,38.986,8382.29,1.733,0.936,0.123631708,0.373,0.412,150.504,151.774,1,360,1633.07949125596,8.09041095890411,8.48949319589493
0,1,17,24.4,15.8,36.6,66,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,24.5,16.4,10.7,63,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,24.4,16.4,36.7,66,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,24.7,15.9,36.6,69,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,24.4,15,35.9,67,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,25.4,16.3,36.1,67,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,24.7,16,36.9,67,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,23.9,16.8,34.8,68,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,24.8,19.1,36.7,66,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,24.5,17.3,36.8,66,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,24.6,16.9,36.7,67,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
0,1,17,24.7,15.5,35.6,66.5,25,1.162,1.009,86.07,64.518,7390.63,2.066,1.548,0.12334578,0.442,0.487,143.954,144.73,0,269,1430,5.27671232876712,9.0054794520548
