BirdID	PHt	Hs_obs	Hs_exp	IR	HL
3605	0.428571429	0.884966427	0.874070726	0.118753392	0.546310272
3606	0.571428571	1.179955236	1.165427634	-0.194894363	0.385394414
3607	0.642857143	1.32744964	1.311106089	-0.309874534	0.289985944
3608	0.5	1.032460831	1.01974918	0.019832472	0.469678448
3609	0.428571429	0.884966427	0.874070726	0.102250503	0.528969068
3610	0.392857143	0.811219225	0.801231499	0.230621761	0.548808257
3611	0.464285714	0.958713629	0.946909953	0.039156507	0.448110203
3612	0.464285714	0.958713629	0.946909953	0.055709405	0.50438644
3613	0.285714286	0.589977618	0.582713817	0.411597822	0.688151975
3614	0.285714286	0.589977618	0.582713817	0.425578763	0.722547574
3615	0.535714286	1.106208034	1.092588407	-0.055406915	0.4026259
3616	0.535714286	1.106208034	1.092588407	-0.048170182	0.395690511
3617	0.5	1.032460831	1.01974918	0.001882008	0.48155009
3618	0.678571429	1.401196843	1.383945316	-0.327272461	0.271832832
3619	0.607142857	1.253702438	1.238266862	-0.242341846	0.346496606
3620	0.464285714	0.958713629	0.946909953	0.045013849	0.463823207
3621	0.285714286	0.589977618	0.582713817	0.399377694	0.672309728
3624	0.392857143	0.811219225	0.801231499	0.17321032	0.533443816
3626	0.357142857	0.737472022	0.728392272	0.201533597	0.59558169
3628	0.428571429	0.884966427	0.874070726	0.053483738	0.532187778
3630	0.5	1.032460831	1.01974918	0.05977372	0.43894743
3631	0.392857143	0.811219225	0.801231499	0.206866096	0.570196018
3634	0.357142857	0.737472022	0.728392272	0.242018495	0.562518147
3635	0.25	0.516230416	0.50987459	0.435771644	0.718227886
3636	0.321428571	0.66372482	0.655553044	0.347464213	0.606579125
3638	0.392857143	0.811219225	0.801231499	0.183237184	0.547462346
3639	0.535714286	1.106208034	1.092588407	-0.113604172	0.371824006
3641	0.5	1.032460831	1.01974918	0.015812321	0.479709283
3642	0.571428571	1.179955236	1.165427634	-0.161393863	0.364643047
3643	0.678571429	1.401196843	1.383945316	-0.286208712	0.238881875
3644	0.5	1.032460831	1.01974918	-0.078594639	0.434576186
3645	0.5	1.032460831	1.01974918	0.045330814	0.434905517
3646	0.607142857	1.253702438	1.238266862	-0.214051027	0.356789107
3647	0.464285714	0.958713629	0.946909953	-0.01329275	0.48747721
3648	0.392857143	0.811219225	0.801231499	0.172510642	0.542135747
3649	0.678571429	1.401196843	1.383945316	-0.329021584	0.240740248
3650	0.535714286	1.106208034	1.092588407	-0.09715897	0.408484875
3651	0.392857143	0.811219225	0.801231499	0.120593851	0.540263252
3652	0.678571429	1.401196843	1.383945316	-0.253691328	0.334667241
3653	0.607142857	1.253702438	1.238266862	-0.206887785	0.331021519
3654	0.535714286	1.106208034	1.092588407	-0.018461054	0.441147534
3656	0.535714286	1.106208034	1.092588407	-0.092107221	0.434996449
3658	0.571428571	1.179955236	1.165427634	-0.048306158	0.39781284
3659	0.642857143	1.32744964	1.311106089	-0.258358972	0.277019668
3661	0.642857143	1.32744964	1.311106089	-0.206622132	0.314590006
3662	0.535714286	1.106208034	1.092588407	-0.099365658	0.396297535
3663	0.392857143	0.811219225	0.801231499	0.177597632	0.538136149
3664	0.464285714	0.958713629	0.946909953	0.124279956	0.475628679
3665	0.392857143	0.811219225	0.801231499	0.192494922	0.549150135
